part model origin,x,y,z,a,b,c,positive motion,negative motion,joint_index,joint_axis_point,axis_frame,axis_x,axis_y,axis_z,tcp_candidate,dh_include,notes
table,0,0,0,0,0,0,0,0,,,BRF,,,,,0,world/base reference only
arm_base,0,0,3,0,0,0,0,0,0,1,BRF,0,0,1,,1,joint_0 axis point; +Z rotation axis in BRF
arm_joint_0,0,0,7.25,0,0,0,180,-180,1,1,BRF,1,0,0,,1,joint_1 axis point; +X rotation axis in BRF
arm_joint_1,0,0,16.25,0,0,0,90,-65,2,1,BRF,1,0,0,,1,joint_2 axis point; +X rotation axis in BRF
arm_joint_2,0,-5,16.25,0,0,0,70,-90,3,1,BRF,0,1,0,,1,joint_3 axis point; +Y rotation axis in BRF at zero pose
arm_joint_3,0,-9,16.25,0,0,0,135,-135,4,1,BRF,1,0,0,,1,joint_4 axis point; +X rotation axis in BRF at zero pose
arm_joint_4,0,-11.5,16.25,0,0,0,90,-90,5,1,BRF,0,1,0,,1,joint_5 axis point; +Y rotation axis in BRF at zero pose
arm_joint_5,0,-12,16.25,0,0,0,135,-135,5,0,BRF,,,,,0,flange/reference point after joint_5
spindle,0,-13.75,13.6375,0,0,0,,,5,0,BRF,,,,1,0,tooltip/TCP candidate point
